insert into tbl_product values(seq_product.nextval, 'aa', '0', '0', 'title1', 'proname1', 'prodcs1', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '0', '1', 'title1', 'proname2', 'prodcs2', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '0', '2', 'title1', 'proname3', 'prodcs3', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '0', '3', 'title1', 'proname4', 'prodcs4', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '0', 'title1', 'proname5', 'prodcs5', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '1', 'title1', 'proname6', 'prodcs6', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '2', 'title1', 'proname7', 'prodcs7', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '3', 'title1', 'proname8', 'prodcs8', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '0', '0', 'title1', 'proname1', 'prodcs1', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '0', '1', 'title1', 'proname2', 'prodcs2', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '0', '2', 'title1', 'proname3', 'prodcs3', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '0', '3', 'title1', 'proname4', 'prodcs4', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '0', 'title1', 'proname5', 'prodcs5', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '1', 'title1', 'proname6', 'prodcs6', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '2', 'title1', 'proname7', 'prodcs7', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '3', 'title1', 'proname8', 'prodcs8', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '0', '0', 'title1', 'proname1', 'prodcs1', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '0', '1', 'title1', 'proname2', 'prodcs2', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '0', '2', 'title1', 'proname3', 'prodcs3', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '0', '3', 'title1', 'proname4', 'prodcs4', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '0', 'title1', 'proname5', 'prodcs5', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '1', 'title1', 'proname6', 'prodcs6', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '2', 'title1', 'proname7', 'prodcs7', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '3', 'title1', 'proname8', 'prodcs8', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '0', '0', 'title1', 'proname1', 'prodcs1', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '0', '1', 'title1', 'proname2', 'prodcs2', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '0', '2', 'title1', 'proname3', 'prodcs3', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '0', '3', 'title1', 'proname4', 'prodcs4', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '0', 'title1', 'proname5', 'prodcs5', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '1', 'title1', 'proname6', 'prodcs6', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '2', 'title1', 'proname7', 'prodcs7', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '3', 'title1', 'proname8', 'prodcs8', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '0', '0', 'title1', 'proname1', 'prodcs1', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '0', '1', 'title1', 'proname2', 'prodcs2', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '0', '2', 'title1', 'proname3', 'prodcs3', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '0', '3', 'title1', 'proname4', 'prodcs4', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '0', 'title1', 'proname5', 'prodcs5', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '1', 'title1', 'proname6', 'prodcs6', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '2', 'title1', 'proname7', 'prodcs7', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '3', 'title1', 'proname8', 'prodcs8', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '0', '0', 'title1', 'proname1', 'prodcs1', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '0', '1', 'title1', 'proname2', 'prodcs2', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '0', '2', 'title1', 'proname3', 'prodcs3', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '0', '3', 'title1', 'proname4', 'prodcs4', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '0', 'title1', 'proname5', 'prodcs5', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '1', 'title1', 'proname6', 'prodcs6', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '2', 'title1', 'proname7', 'prodcs7', '10000', sysdate, '1');
insert into tbl_product values(seq_product.nextval, 'aa', '1', '3', 'title1', 'proname8', 'prodcs8', '10000', sysdate, '1');
